C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2.py
[21:45:20] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
Polina config
[21:45:21] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[1] Batch [2200]	Speed: 197.73 samples/sec	accuracy=0.630000
INFO:root:Epoch[1] Batch [2300]	Speed: 198.50 samples/sec	accuracy=0.657500
INFO:root:Epoch[1] Batch [2400]	Speed: 197.73 samples/sec	accuracy=0.648750
INFO:root:Epoch[1] Batch [2500]	Speed: 197.73 samples/sec	accuracy=0.630000
INFO:root:Epoch[1] Batch [2600]	Speed: 198.50 samples/sec	accuracy=0.633750
INFO:root:Epoch[1] Batch [2700]	Speed: 197.73 samples/sec	accuracy=0.650000
INFO:root:Epoch[1] Batch [2800]	Speed: 197.73 samples/sec	accuracy=0.642500
INFO:root:Epoch[1] Batch [2900]	Speed: 198.50 samples/sec	accuracy=0.662500
INFO:root:Epoch[1] Batch [3000]	Speed: 197.73 samples/sec	accuracy=0.631250
INFO:root:Epoch[1] Batch [3100]	Speed: 197.73 samples/sec	accuracy=0.647500
INFO:root:Epoch[1] Batch [3200]	Speed: 198.50 samples/sec	accuracy=0.655000
INFO:root:Epoch[1] Batch [3300]	Speed: 197.73 samples/sec	accuracy=0.646250
INFO:root:Epoch[1] Batch [3400]	Speed: 197.73 samples/sec	accuracy=0.665000
INFO:root:Epoch[1] Batch [3500]	Speed: 197.73 samples/sec	accuracy=0.663750
INFO:root:Epoch[1] Batch [3600]	Speed: 198.50 samples/sec	accuracy=0.620000
INFO:root:Epoch[1] Batch [3700]	Speed: 197.73 samples/sec	accuracy=0.680000
INFO:root:Epoch[1] Batch [3800]	Speed: 197.73 samples/sec	accuracy=0.625000
INFO:root:Epoch[1] Batch [3900]	Speed: 198.50 samples/sec	accuracy=0.677500
INFO:root:Epoch[1] Batch [4000]	Speed: 197.73 samples/sec	accuracy=0.623750
INFO:root:Epoch[1] Batch [4100]	Speed: 197.73 samples/sec	accuracy=0.655000
INFO:root:Epoch[1] Train-accuracy=0.665000
INFO:root:Epoch[1] Time cost=166.730
INFO:root:Epoch[1] Validation-accuracy=0.674407
INFO:root:Epoch[2] Batch [100]	Speed: 197.73 samples/sec	accuracy=0.641089
INFO:root:Epoch[2] Batch [200]	Speed: 197.73 samples/sec	accuracy=0.640000
INFO:root:Epoch[2] Batch [300]	Speed: 197.73 samples/sec	accuracy=0.656250
INFO:root:Epoch[2] Batch [400]	Speed: 197.73 samples/sec	accuracy=0.645000
INFO:root:Epoch[2] Batch [500]	Speed: 198.50 samples/sec	accuracy=0.643750
INFO:root:Epoch[2] Batch [600]	Speed: 197.60 samples/sec	accuracy=0.666250
INFO:root:Epoch[2] Batch [700]	Speed: 198.51 samples/sec	accuracy=0.656250
INFO:root:Epoch[2] Batch [800]	Speed: 198.91 samples/sec	accuracy=0.626250
INFO:root:Epoch[2] Batch [900]	Speed: 198.06 samples/sec	accuracy=0.650000
INFO:root:Epoch[2] Batch [1000]	Speed: 198.50 samples/sec	accuracy=0.651250
INFO:root:Epoch[2] Batch [1100]	Speed: 197.73 samples/sec	accuracy=0.673750
INFO:root:Epoch[2] Batch [1200]	Speed: 197.73 samples/sec	accuracy=0.687500
