C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2_pmv.py
Mariya config
[21:43:27] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
[21:43:28] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[1] Batch [2200]	Speed: 695.09 samples/sec	accuracy=0.617500
INFO:root:Epoch[1] Batch [2300]	Speed: 679.78 samples/sec	accuracy=0.625000
INFO:root:Epoch[1] Batch [2400]	Speed: 686.17 samples/sec	accuracy=0.627500
INFO:root:Epoch[1] Batch [2500]	Speed: 698.12 samples/sec	accuracy=0.606250
INFO:root:Epoch[1] Batch [2600]	Speed: 700.56 samples/sec	accuracy=0.591250
INFO:root:Epoch[1] Batch [2700]	Speed: 698.73 samples/sec	accuracy=0.610000
INFO:root:Epoch[1] Batch [2800]	Speed: 700.56 samples/sec	accuracy=0.630000
INFO:root:Epoch[1] Batch [2900]	Speed: 703.63 samples/sec	accuracy=0.628750
INFO:root:Epoch[1] Batch [3000]	Speed: 704.25 samples/sec	accuracy=0.600000
INFO:root:Epoch[1] Batch [3100]	Speed: 697.51 samples/sec	accuracy=0.628750
INFO:root:Epoch[1] Batch [3200]	Speed: 697.51 samples/sec	accuracy=0.617500
INFO:root:Epoch[1] Batch [3300]	Speed: 704.25 samples/sec	accuracy=0.636250
INFO:root:Epoch[1] Batch [3400]	Speed: 702.40 samples/sec	accuracy=0.620000
INFO:root:Epoch[1] Batch [3500]	Speed: 703.01 samples/sec	accuracy=0.640000
INFO:root:Epoch[1] Batch [3600]	Speed: 698.12 samples/sec	accuracy=0.617500
INFO:root:Epoch[1] Batch [3700]	Speed: 707.35 samples/sec	accuracy=0.662500
INFO:root:Epoch[1] Batch [3800]	Speed: 704.87 samples/sec	accuracy=0.603750
INFO:root:Epoch[1] Batch [3900]	Speed: 703.63 samples/sec	accuracy=0.623750
INFO:root:Epoch[1] Batch [4000]	Speed: 695.70 samples/sec	accuracy=0.610000
INFO:root:Epoch[1] Batch [4100]	Speed: 687.94 samples/sec	accuracy=0.618750
INFO:root:Epoch[1] Train-accuracy=0.655000
